ID,SDCNT_CNT_NUM,SDCNT_TGW,SDCNT_TIME_SEC
006-p04,140,,98
006-p06,188,,48
006-p10,159,,56
009-p02,135,,41
009-p06,126,,54
009-p09,140,,71
011-p02,115,,52
011-p05,95,,51
011-p08,107,,64
012-p01,163,,46
012-p02,130,,51
012-p05,128,,44
029-p05,68,,41
029-p06,87,,55
029-p10,108,,42
031-p01,110,,48
031-p04,98,,48
035-p06,320,,115
039-p01,104,,76
039-p05,323,,80
039-p08,206,,60
039-p10,205,,56
048-p02,179,,56
048-p05,310,,75
049-p03,167,,70
049-p06,189,,50
049-p09,153,,40
059-p03,143,,72
059-p05,134,,50
059-p10,135,,69
062-p05,66,,80
063-p03,101,,44
063-p05,100,,54
069-p01,187,,92
069-p02,208,,66
072-p01,111,,57
072-p06,30,,50
072-p07,110,,47
072-p09,123,,57
073-p01,97,,58
073-p04,109,,46
073-p07,87,,65
074-p01,96,,49
074-p02,81,,45
074-p08,71,,42
078-p02,140,,41
078-p04,82,,51
078-p10,131,,63
085-p01,64,,40
085-p04,118,,43
085-p06,90,,55
086-p01,112,,58
086-p02,100,,63
086-p05,85,,57
093-p02,81,,45
093-p03,97,,43
093-p07,89,,45
095-p02,99,,46
095-p03,94,,66
095-p07,108,,39
098-p04,152,,45
098-p06,121,,46
098-p10,116,,39
101-p02,297,,65
101-p04,206,,65
102-p02,135,,51
102-p08,80,,43
102-p10,92,,41
113-p01,117,,45
113-p03,112,,48
113-p08,62,,152
121-p04,112,,38
128-p01,135,,49
131-p02,153,,56
131-p04,150,,49
131-p08,145,,59
135-p03,88,,44
135-p06,103,,58
135-p10,123,,60
137-p02,194,,49
138-p01,75,,44
138-p02,24,,24
138-p04,48,,50
138-p05,55,,47
139-p04,211,,66
139-p07,224,,47
139-p10,199,,55
140-p01,95,,51
140-p05,86,,52
140-p08,84,,45
142-p02,27,,33
142-p06,86,,40
142-p10,69,,46
143-p02,81,,43
143-p03,94,,45
143-p10,84,,45
144-p02,82,,43
144-p04,83,,40
144-p05,63,,33
149-p01,195,,54
149-p05,116,,40
149-p06,139,,47
151-p02,95,,40
151-p04,91,,48
151-p09,96,,58
153-p03,77,,40
153-p04,49,,37
153-p06,84,,44
154-p02,49,,42
154-p04,91,,46
154-p07,130,,50
165-p03,120,,45
165-p06,100,,36
165-p07,88,,42
168-p02,88,,49
168-p04,90,,48
168-p09,95,,42
168-p10,92,,108
174-p01,189,,45
174-p07,158,,57
174-p10,115,,56
181-p01,122,,48
181-p03,178,,31
181-p08,119,,33
182-p03,94,,36
182-p04,95,,36
182-p05,94,,38
185-p01,69,,38
185-p03,83,,61
185-p05,101,,39
185-p07,82,,40
196-p05,95,,40
196-p06,88,,38
199-p01,121,,41
199-p03,136,,51
199-p05,186,,64
204-p04,57,,41
204-p07,95,,39
204-p09,38,,40
209-p01,168,,49
209-p02,164,,43
211-p03,,,251
211-p05,75,,40
211-p08,85,,45
214-p01,216,,65
214-p03,231,,65
214-p07,327,,62
219-p03,92,,59
219-p04,87,,51
219-p05,108,,60
219-p10,89,,48
220-p06,108,,52
220-p09,85,,35
220-p10,94,,40
222-p01,161,,48
222-p04,138,,75
223-p02,108,,54
223-p04,119,,64
223-p05,184,,60
224-p02,125,,47
224-p03,160,,41
224-p08,113,,50
226-p03,80,,44
226-p04,46,,36
226-p08,52,,47
229-p02,72,,65
229-p04,86,,42
229-p10,96,,61
231-p08,90,,51
231-p09,119,,45
231-p10,88,,32
239-p03,152,,64
239-p04,96,,42
239-p07,139,,47
243-p04,125,,53
243-p05,157,,54
243-p08,197,,66
254-p03,80,,42
254-p04,81,,42
254-p10,99,,47
256-p05,162,,54
256-p08,90,,59
256-p09,90,,46
268-p02,99,,55
268-p04,83,,58
268-p05,75,,44
276-p01,174,,58
276-p02,211,,50
278-p02,101,,43
278-p04,120,,44
278-p05,81,,35
280-p02,90,,40
280-p04,111,,42
280-p06,91,,34
282-p02,93,,34
282-p06,111,,49
282-p08,96,,40
284-p01,83,,52
284-p03,95,,43
284-p04,92,,45
284-p08,82,,48
287-p02,156,,39
287-p03,123,,39
287-p06,152,,39
288-p01,93,,40
288-p09,149,,61
288-p10,234,,57
292-p01,122,,53
292-p02,120,,45
292-p03,107,,52
294-p01,65,,41
294-p07,70,,38
294-p08,57,,63
