ID,HND_TIME_SEC,HND_CNT_NUM,HND_WIDTH,HND_LENGTH
006-p04,692,130,3.39,4.51
006-p06,937,174,2.76,4.01
006-p10,734,153,3.04,4.16
009-p02,700,134,3.37,4.37
009-p06,798,120,3.14,4.06
009-p09,540,116,3.18,3.83
011-p02,463,99,3.62,4.84
011-p05,491,89,3.65,4.94
011-p08,441,98,3.45,4.39
012-p01,770,160,3,3.75
012-p02,676,119,3.15,3.73
012-p05,687,124,3.25,4.18
029-p05,304,64,3.97,5.34
029-p06,388,84,3.64,4.79
029-p10,379,90,3.63,5.03
031-p01,455,105,3.65,4.44
031-p04,379,95,3.5,4.56
035-p06,1493,242,2.36,3.06
039-p01,484,104,2.72,3.59
039-p05,1557,291,2.54,3.15
039-p08,1099,204,2.83,3.52
039-p10,943,205,2.72,3.34
048-p02,628,137,2.46,3.07
048-p05,1300,304,2.47,3.22
049-p03,779,164,3.08,4.03
049-p06,841,183,2.97,3.85
049-p09,692,153,3.21,3.95
059-p03,535,140,3.19,4.09
059-p05,526,130,3.21,4.24
059-p10,576,130,3.25,3.92
062-p05,238,63,4.68,5.39
063-p03,331,99,3.65,5.05
063-p05,338,89,3.35,4.26
069-p01,784,180,2.98,3.63
069-p02,929,200,2.9,3.66
072-p01,386,109,3.25,3.98
072-p06,181,19,3.11,3.87
072-p07,681,104,3.38,4.27
072-p09,711,121,3.15,4.05
073-p01,669,94,3.04,4.31
073-p04,510,107,3.28,4.58
073-p07,381,88,3.43,4.83
074-p01,480,98,3.3,4.35
074-p02,408,79,3.53,4.81
074-p08,304,70,3.83,5.06
078-p02,529,130,3.15,4.56
078-p04,338,79,3.37,5.15
078-p10,553,125,2.97,4.6
085-p01,388,63,2.86,4.55
085-p04,464,100,3.12,4.52
085-p06,365,80,3.21,4.64
086-p01,463,109,3.09,4.74
086-p02,364,98,3.12,4.64
086-p06,323,83,3.26,4.95
093-p02,322,78,3.41,4.8
093-p03,373,95,3.5,4.6
093-p07,335,84,3.4,4.53
095-p02,411,96,3.29,4.08
095-p03,364,93,3.49,4.85
095-p07,405,106,3.71,4.9
098-p04,651,145,3.06,4.06
098-p06,504,132,3.36,4.34
098-p10,501,111,3.11,3.88
101-p02,1389,283,2.52,3.27
101-p04,860,206,2.69,3.54
102-p02,547,133,3.13,4.25
102-p08,373,79,3.26,4.3
102-p10,367,90,3.53,4.56
113-p01,627,112,2.99,4.13
113-p03,592,110,3.28,4.48
113-p08,357,62,3.34,4.39
121-p04,561,110,3.21,3.98
128-p01,562,135,3.1,3.59
131-p02,590,149,2.95,3.85
131-p04,627,146,3.02,3.8
131-p08,494,144,2.94,3.92
135-p03,295,82,3.24,3.96
135-p06,366,100,3.51,4.16
135-p10,392,111,3.12,3.97
137-p02,835,189,2.51,3.1
138-p01,296,62,4.14,4.3
138-p02,76,21,4.61,5.55
138-p04,132,48,4.5,5.39
138-p05,188,53,3.57,4.39
139-p04,854,197,2.49,3.19
139-p07,763,219,2.75,3.36
139-p10,838,192,2.46,3.28
140-p01,436,86,3.4,4.36
140-p05,253,74,3.48,4.84
140-p08,350,84,3.6,4.61
142-p02,73,25,3.85,4.72
142-p06,310,81,3.31,4.23
142-p10,216,69,3.68,4.64
