ID,MVN_CNT_NUM,LOT_WEIGHT,MVN_TGW,MVN_WIDTH,MVN_LENGTH,Date,Time,Date/Time,Time,Sec,MVN_TIME_SEC,B-Stocking(%),ØArea,ØCircularity,ØL/W Ratio,Formula 1,Formula 2,Formula 3,Formula 4,Formula 5,Formula 6,Formula 7
,,0.01,,,,12/7/2023,9:33:53,7/12/2023 9:33,,,,,,,,,,,,,,
006-p04,133,2.03,15.26,3.06,4.75,12/7/2023,9:37:15,7/12/2023 9:37,0:00:57,57s,57,0.7,10.3,1.3,1.6,2.4,0.7,0.4,40.9,5.9,20.3,10
006-p06,180,1.98,11,2.71,4.32,12/7/2023,9:38:12,7/12/2023 9:38,0:01:07,67s,67,,8.3,1.3,1.6,2.2,0.6,0.4,39.8,5.4,19.8,10
006-p10,157,1.84,11.72,2.87,4.45,12/7/2023,9:39:19,7/12/2023 9:39,0:01:16,76s,76,,9,1.3,1.6,1.8,0.5,0.4,37.7,4.9,18.4,10
009-p02,133,2.27,17.07,3.12,4.39,12/7/2023,9:40:35,7/12/2023 9:40,0:00:59,59s,59,2.9,10,1.2,1.4,2.6,0.7,0.5,39.9,6.8,22.7,10
009-p06,120,1.85,15.42,3.12,4.55,12/7/2023,9:41:34,7/12/2023 9:41,0:01:11,71s,71,0.8,10.3,1.2,1.5,2.5,0.7,0.4,39.5,4.7,18.5,10
009-p09,124,1.89,15.24,3.21,4.42,12/7/2023,9:42:45,7/12/2023 9:42,0:01:14,74s,74,4.6,10.1,1.2,1.4,3.9,1,0.6,42,10.6,18.9,10
011-p02,106,2.16,20.38,3.49,5.32,12/7/2023,9:43:59,7/12/2023 9:43,0:01:15,75s,75,7,13.1,1.3,1.5,4.3,0.8,0.8,37.7,9.8,21.6,10
011-p05,94,2.19,23.3,3.56,5.4,12/7/2023,9:45:14,7/12/2023 9:45,0:00:57,57s,57,2.1,13.9,1.2,1.5,4.1,0.9,0.7,37.8,7.2,21.9,10
011-p08,104,1.9,18.27,3.36,4.67,12/7/2023,9:46:11,7/12/2023 9:46,0:01:20,80s,80,1,11.4,1.2,1.4,3.7,1,0.6,38,7.3,19,10
012-p01,159,2.11,13.27,2.99,4.03,12/7/2023,9:47:31,7/12/2023 9:47,0:00:56,56s,56,1.2,8.7,1.2,1.4,1.6,0.4,0.3,38.6,5.4,21.1,10
