,ID,LOT_WEIGHT,HND_TIME_SEC,HND_CNT_NUM,HND_TGW,HND_WIDTH,HND_LENGTH,SDCNT_TIME_SEC,SDCNT_CNT_NUM,SDCNT_TGW,MVN_TIME_SEC,MVN_CNT_NUM,MVN_TGW,MVN_WIDTH,MVN_LENGTH
1,006-p04,2.03,692,130,15.62,3.39,4.51,98,140,15.26,57,133,15.26,3.06,4.75
2,006-p06,1.98,937,174,11.38,2.76,4.01,48,188,11,67,180,11,2.71,4.32
3,006-p10,1.84,734,153,12.03,3.04,4.16,56,159,11.72,76,157,11.72,2.87,4.45
4,009-p02,2.27,700,134,16.94,3.37,4.37,41,135,17.07,59,133,17.07,3.12,4.39
5,009-p06,1.85,798,120,15.42,3.14,4.06,54,126,15.42,71,120,15.42,3.12,4.55
6,009-p09,1.89,540,116,16.29,3.18,3.83,71,140,15.24,74,124,15.24,3.21,4.42
7,011-p02,2.16,463,99,21.82,3.62,4.84,52,115,20.38,75,106,20.38,3.49,5.32
8,011-p05,2.19,491,89,24.61,3.65,4.94,51,95,23.3,57,94,23.3,3.56,5.4
9,011-p08,1.9,441,98,19.39,3.45,4.39,64,107,18.27,80,104,18.27,3.36,4.67
10,012-p01,2.11,770,160,13.19,3,3.75,46,163,13.27,56,159,13.27,2.99,4.03
11,012-p02,2.04,676,119,17.14,3.15,3.73,51,130,15.94,52,128,15.94,3.11,4.16
12,012-p05,2.25,687,124,18.15,3.25,4.18,44,128,17.44,85,129,17.44,3.22,4.57
13,029-p05,1.84,304,64,28.75,3.97,5.34,41,68,27.88,63,66,27.88,3.88,5.85
14,029-p06,2.01,388,84,23.93,3.64,4.79,55,87,23.1,57,87,23.1,3.64,5.3
15,029-p10,2.08,379,90,23.11,3.63,5.03,42,108,20.8,60,100,20.8,3.4,5.16
16,031-p01,1.99,455,105,18.95,3.65,4.44,48,110,18.77,66,106,18.77,3.29,4.48
17,031-p04,2.2,379,95,23.16,3.5,4.56,48,98,22.45,77,98,22.45,3.32,4.73
18,035-p06,1.96,1493,242,8.1,2.36,3.06,115,320,6.3,85,311,6.3,2.32,3.24
19,039-p01,1.07,484,104,10.29,2.72,3.59,76,104,10.29,67,104,10.29,2.74,3.93
20,039-p05,2.24,1557,291,7.7,2.54,3.15,80,323,7.02,62,319,7.02,2.48,3.31
21,039-p08,2.02,1099,204,9.9,2.83,3.52,60,206,9.81,50,206,9.81,2.7,3.55
22,039-p10,1.87,943,205,9.12,2.72,3.34,56,205,9.08,82,206,9.08,2.64,3.52
23,048-p02,1.02,628,137,7.45,2.46,3.07,56,179,6.34,58,161,6.34,2.46,3.38
24,048-p05,2.07,1300,304,6.81,2.47,3.22,75,310,6.9,84,300,6.9,2.34,3.34
25,049-p03,2.15,779,164,13.11,3.08,4.03,70,167,13.03,71,165,13.03,2.97,4.33
26,049-p06,1.92,841,183,10.49,2.97,3.85,50,189,10.27,55,187,10.27,2.82,4.09
27,049-p09,2.2,692,153,14.38,3.21,3.95,40,153,14.29,79,154,14.29,3.05,4.19
28,059-p03,1.93,535,140,13.79,3.19,4.09,72,143,13.88,65,139,13.88,2.96,4.11
29,059-p05,1.85,526,130,14.23,3.21,4.24,50,134,14.23,65,130,14.23,2.92,4.41
30,059-p10,1.82,576,130,14,3.25,3.92,69,135,13.38,112,136,13.38,3.02,4.14
31,062-p05,1.77,238,63,28.1,4.68,5.39,80,66,28.1,77,63,28.1,4.21,5.57
32,063-p03,2.13,331,99,21.52,3.65,5.05,44,101,21.52,57,99,21.52,3.41,4.94
33,063-p05,1.81,338,89,20.34,3.35,4.26,54,100,18.28,84,99,18.28,3.44,4.72
34,069-p01,1.92,784,180,10.67,2.98,3.63,92,187,10.49,66,183,10.49,2.76,3.83
35,069-p02,2.05,929,200,10.25,2.9,3.66,66,208,10.2,78,201,10.2,2.69,3.76
36,072-p01,1.78,386,109,16.33,3.25,3.98,57,111,16.33,84,109,16.33,3.25,4.28
37,072-p06,0.25,181,19,13.16,3.11,3.87,50,30,12.5,61,20,12.5,3.19,4.04
38,072-p07,2.16,681,104,20.77,3.38,4.27,47,110,20.38,64,106,20.38,3.5,4.55
39,072-p09,2.02,711,121,16.69,3.15,4.05,57,123,16.83,97,120,16.83,3.25,4.26
40,073-p01,1.7,669,94,18.09,3.04,4.31,58,97,17.89,67,95,17.89,3.32,4.82
41,073-p04,2.01,510,107,18.79,3.28,4.58,46,109,18.61,60,108,18.61,3.28,4.64
42,073-p07,1.76,381,88,20,3.43,4.83,65,87,20.23,105,87,20.23,3.46,4.72
43,074-p01,1.67,480,98,17.04,3.3,4.35,49,96,17.58,59,95,17.58,3.17,4.56
44,074-p02,1.63,408,79,20.63,3.53,4.81,45,81,20.12,51,81,20.12,3.44,4.8
45,074-p08,1.73,304,70,24.71,3.83,5.06,42,71,24.71,48,70,24.71,3.7,5.1
46,078-p02,1.97,529,130,15.15,3.15,4.56,41,140,14.38,57,137,14.38,2.99,4.71
47,078-p04,1.76,338,79,22.28,3.37,5.15,51,82,22.28,62,79,22.28,3.58,5.13
48,078-p10,1.86,553,125,14.88,2.97,4.6,63,131,14.09,89,132,14.09,2.93,4.54
49,085-p01,1.09,388,63,17.3,2.86,4.55,40,64,17.3,88,63,17.3,3.07,4.66
50,085-p04,1.52,464,100,15.2,3.12,4.52,43,118,13.94,48,109,13.94,3.1,4.6
51,085-p06,1.35,365,80,16.88,3.21,4.64,55,90,16.67,80,81,16.67,3.38,4.82
52,086-p01,1.68,463,109,15.41,3.09,4.74,58,112,15,67,112,15,3.04,4.49
53,086-p02,1.59,364,98,16.22,3.12,4.64,63,100,16.22,55,98,16.22,3.1,4.68
54,093-p02,1.57,322,78,20.13,3.41,4.8,45,81,20.13,54,78,20.13,3.51,4.9
55,093-p03,1.9,373,95,20,3.5,4.6,43,97,19.79,52,96,19.79,3.31,4.69
56,093-p07,1.61,335,84,19.17,3.4,4.53,45,89,18.09,75,89,18.09,3.34,4.68
57,095-p02,1.51,411,96,15.73,3.29,4.08,46,99,15.89,68,95,15.89,3.32,4.14
58,095-p03,1.8,364,93,19.35,3.49,4.85,66,94,19.35,61,93,19.35,3.39,4.73
59,095-p07,2.04,405,106,19.25,3.71,4.9,39,108,19.07,66,107,19.07,3.46,4.52
60,098-p04,1.89,651,145,13.03,3.06,4.06,45,152,12.6,92,150,12.6,2.93,3.94
61,098-p06,1.91,504,132,14.47,3.36,4.34,46,121,15.92,66,120,15.92,3.16,4.4
62,098-p10,1.79,501,111,16.13,3.11,3.88,39,116,15.43,90,116,15.43,3.2,4.18
63,101-p02,2.2,1389,283,7.77,2.52,3.27,65,297,7.41,47,297,7.41,2.43,3.29
64,101-p04,1.82,860,206,8.83,2.69,3.54,65,206,8.79,152,207,8.79,2.54,3.55
65,102-p02,2.01,547,133,15.11,3.13,4.25,51,135,14.89,56,135,14.89,2.99,4.38
66,102-p08,1.47,373,79,18.61,3.26,4.3,43,80,18.15,75,81,18.15,3.26,4.78
67,102-p10,1.67,367,90,18.56,3.53,4.56,41,92,18.35,136,91,18.35,3.3,4.71
68,113-p01,1.44,627,112,12.86,2.99,4.13,45,117,12.2,87,118,12.2,3.03,4.6
69,113-p03,1.68,592,110,15.27,3.28,4.48,48,112,15.14,69,111,15.14,3.06,4.7
70,113-p08,1.6,357,62,25.81,3.34,4.39,152,62,15.53,110,103,15.53,3.15,4.54
71,121-p04,1.59,561,110,14.45,3.21,3.98,38,112,14.32,83,111,14.32,3.04,4.26
72,128-p01,1.46,562,135,10.81,3.1,3.59,49,135,10.81,71,135,10.81,2.85,3.73
73,131-p02,1.72,590,149,11.54,2.95,3.85,56,153,11.39,59,151,11.39,2.75,3.89
74,131-p04,1.69,627,146,11.58,3.02,3.8,49,150,11.5,62,147,11.5,2.82,3.86
75,131-p08,1.73,494,144,12.01,2.94,3.92,59,145,12.01,94,144,12.01,2.74,3.91
76,135-p03,1.5,295,82,18.29,3.24,3.96,44,88,18.52,70,81,18.52,3.26,4.35
